"StartDate","EndDate","Status","ResponseId","Q1_1","Q1_2","Q1_3","Q1_4","Q2_1","Q2_2","Q2_3","Q2_4","Q3","Q4"
"Start Date","End Date","Response Type","Response ID","How important is it to minimize the time to find options?","How important is it to minimize the time to evaluate options?","How important is it to minimize the likelihood of missing relevant options?","How important is it to minimize the time to understand pricing?","How satisfied are you with minimizing the time to find options?","How satisfied are you with minimizing the time to evaluate options?","How satisfied are you with minimizing the likelihood of missing relevant options?","How satisfied are you with minimizing the time to understand pricing?","What type of user are you?","How long have you been a customer?"
"{"ImportId":"startDate"}","{"ImportId":"endDate"}","{"ImportId":"status"}","{"ImportId":"_recordId"}","{"ImportId":"QID1_1"}","{"ImportId":"QID1_2"}","{"ImportId":"QID1_3"}","{"ImportId":"QID1_4"}","{"ImportId":"QID2_1"}","{"ImportId":"QID2_2"}","{"ImportId":"QID2_3"}","{"ImportId":"QID2_4"}","{"ImportId":"QID3"}","{"ImportId":"QID4"}"
"2024-01-15 10:23:45","2024-01-15 10:30:12","IP Address","R_1abc","5","4","3","5","3","2","4","3","Power User","2+ years"
"2024-01-15 11:05:33","2024-01-15 11:12:08","IP Address","R_2def","4","5","4","4","2","1","3","2","Casual","6-12 months"
"2024-01-15 12:45:22","2024-01-15 12:51:44","IP Address","R_3ghi","5","5","5","4","3","3","2","4","Power User","1-2 years"
"2024-01-15 14:18:09","2024-01-15 14:25:33","IP Address","R_4jkl","3","4","4","5","4","3","5","3","New User","< 6 months"
"2024-01-15 15:33:51","2024-01-15 15:40:17","IP Address","R_5mno","4","3","5","3","2","2","3","1","Casual","6-12 months"
"2024-01-15 16:02:44","2024-01-15 16:08:59","IP Address","R_6pqr","5","5","4","4","1","2","2","3","Power User","2+ years"
"2024-01-16 09:11:28","2024-01-16 09:18:42","IP Address","R_7stu","4","4","3","5","3","4","4","2","New User","< 6 months"
"2024-01-16 10:45:33","2024-01-16 10:52:11","IP Address","R_8vwx","3","5","4","4","4","1","3","3","Casual","1-2 years"
"2024-01-16 11:22:17","2024-01-16 11:28:45","IP Address","R_9yza","5","4","5","3","2","3","2","4","Power User","2+ years"
"2024-01-16 13:55:02","2024-01-16 14:01:38","IP Address","R_10bc","4","3","4","5","3","2","4","1","New User","6-12 months"
